YM,GRADE_CD,GRADE_NM,AGING,EFF_CNT,MAU,DAU
202501,BK,Black,신규 유입(0~2M),7607,5339,1759
202501,BK,Black,안정화(6~11M),7374,4054,1249
202501,BK,Black,온보딩(3~5M),4839,2788,884
202501,BK,Black,장기 유지(13M~),18490,14905,6277
202501,BK,Black,하락가망(12M),452,332,119
202501,GD,Gold,신규 유입(0~2M),199,114,37
202501,GD,Gold,안정화(6~11M),986,522,186
202501,GD,Gold,온보딩(3~5M),311,182,69
202501,GD,Gold,장기 유지(13M~),5175,3892,1910
202501,GD,Gold,하락가망(12M),95,55,19
202501,PT,Platinum,신규 유입(0~2M),45,32,6
202501,PT,Platinum,안정화(6~11M),243,124,53
202501,PT,Platinum,온보딩(3~5M),79,43,21
202501,PT,Platinum,장기 유지(13M~),1369,890,379
202501,PT,Platinum,하락가망(12M),54,26,8
202501,SP,S-Platinum,신규 유입(0~2M),1,0,0
202501,SP,S-Platinum,안정화(6~11M),12,8,3
202501,SP,S-Platinum,온보딩(3~5M),3,2,1
202501,SP,S-Platinum,장기 유지(13M~),90,69,43
202501,SP,S-Platinum,하락가망(12M),2,2,1
202501,SV,Silver,신규 유입(0~2M),997,625,216
202501,SV,Silver,안정화(6~11M),2877,1665,600
202501,SV,Silver,온보딩(3~5M),1137,677,239
202501,SV,Silver,장기 유지(13M~),11524,9284,4377
202501,SV,Silver,하락가망(12M),225,149,62
202502,BK,Black,신규 유입(0~2M),6716,4716,1663
202502,BK,Black,안정화(6~11M),6827,3701,1203
202502,BK,Black,온보딩(3~5M),6056,3366,1044
202502,BK,Black,장기 유지(13M~),18608,14781,6356
202502,BK,Black,하락가망(12M),543,370,136
202502,GD,Gold,신규 유입(0~2M),184,127,37
202502,GD,Gold,안정화(6~11M),943,518,192
202502,GD,Gold,온보딩(3~5M),381,214,80
202502,GD,Gold,장기 유지(13M~),5140,3831,1929
202502,GD,Gold,하락가망(12M),123,61,29
202502,PT,Platinum,신규 유입(0~2M),53,38,7
202502,PT,Platinum,안정화(6~11M),215,113,49
202502,PT,Platinum,온보딩(3~5M),65,36,14
202502,PT,Platinum,장기 유지(13M~),1425,899,390
202502,PT,Platinum,하락가망(12M),55,37,14
202502,SP,S-Platinum,신규 유입(0~2M),1,0,0
202502,SP,S-Platinum,안정화(6~11M),10,6,3
202502,SP,S-Platinum,온보딩(3~5M),2,1,1
202502,SP,S-Platinum,장기 유지(13M~),92,72,47
202502,SP,S-Platinum,하락가망(12M),3,3,1
202502,SV,Silver,신규 유입(0~2M),806,517,189
202502,SV,Silver,안정화(6~11M),2628,1544,588
202502,SV,Silver,온보딩(3~5M),1363,807,316
202502,SV,Silver,장기 유지(13M~),11603,9222,4450
202502,SV,Silver,하락가망(12M),295,191,80
202503,BK,Black,신규 유입(0~2M),6144,4351,1550
202503,BK,Black,안정화(6~11M),6302,3542,1190
202503,BK,Black,온보딩(3~5M),6585,3891,1198
202503,BK,Black,장기 유지(13M~),18789,15211,6648
202503,BK,Black,하락가망(12M),561,394,143
202503,GD,Gold,신규 유입(0~2M),194,125,34
202503,GD,Gold,안정화(6~11M),878,508,200
202503,GD,Gold,온보딩(3~5M),379,199,79
202503,GD,Gold,장기 유지(13M~),5050,3827,1941
202503,GD,Gold,하락가망(12M),152,83,31
202503,PT,Platinum,신규 유입(0~2M),52,29,6
202503,PT,Platinum,안정화(6~11M),194,103,44
202503,PT,Platinum,온보딩(3~5M),50,22,7
202503,PT,Platinum,장기 유지(13M~),1481,943,419
202503,PT,Platinum,하락가망(12M),49,27,10
202503,SP,S-Platinum,신규 유입(0~2M),1,1,1
202503,SP,S-Platinum,안정화(6~11M),8,6,3
202503,SP,S-Platinum,온보딩(3~5M),3,0,0
202503,SP,S-Platinum,장기 유지(13M~),94,75,48
202503,SP,S-Platinum,하락가망(12M),2,0,0
202503,SV,Silver,신규 유입(0~2M),721,490,167
202503,SV,Silver,안정화(6~11M),2445,1502,582
202503,SV,Silver,온보딩(3~5M),1465,899,334
202503,SV,Silver,장기 유지(13M~),11618,9347,4593
202503,SV,Silver,하락가망(12M),292,186,75
202504,BK,Black,신규 유입(0~2M),6114,4296,1523
202504,BK,Black,안정화(6~11M),6568,3673,1228
202504,BK,Black,온보딩(3~5M),5938,3616,1135
202504,BK,Black,장기 유지(13M~),18850,15310,6810
202504,BK,Black,하락가망(12M),559,402,158
202504,GD,Gold,신규 유입(0~2M),186,123,31
202504,GD,Gold,안정화(6~11M),838,457,183
202504,GD,Gold,온보딩(3~5M),349,192,75
202504,GD,Gold,장기 유지(13M~),4960,3734,1923
202504,GD,Gold,하락가망(12M),167,105,40
202504,PT,Platinum,신규 유입(0~2M),45,20,2
202504,PT,Platinum,안정화(6~11M),177,95,37
202504,PT,Platinum,온보딩(3~5M),45,21,6
202504,PT,Platinum,장기 유지(13M~),1530,954,418
202504,PT,Platinum,하락가망(12M),40,20,10
202504,SP,S-Platinum,신규 유입(0~2M),2,2,1
202504,SP,S-Platinum,안정화(6~11M),6,4,1
202504,SP,S-Platinum,온보딩(3~5M),1,0,0
202504,SP,S-Platinum,장기 유지(13M~),95,72,44
202504,SP,S-Platinum,하락가망(12M),3,2,1
202504,SV,Silver,신규 유입(0~2M),715,453,153
202504,SV,Silver,안정화(6~11M),2405,1470,593
202504,SV,Silver,온보딩(3~5M),1362,871,322
202504,SV,Silver,장기 유지(13M~),11657,9363,4649
202504,SV,Silver,하락가망(12M),311,187,86
202506,BK,Black,신규 유입(0~2M),5660,3989,1358
202506,BK,Black,안정화(6~11M),7809,4329,1305
202506,BK,Black,온보딩(3~5M),4710,2784,863
202506,BK,Black,장기 유지(13M~),19286,15448,6541
202506,BK,Black,하락가망(12M),425,315,129
202506,GD,Gold,신규 유입(0~2M),164,96,30
202506,GD,Gold,안정화(6~11M),920,506,206
202506,GD,Gold,온보딩(3~5M),277,130,48
202506,GD,Gold,장기 유지(13M~),4925,3669,1835
202506,GD,Gold,하락가망(12M),121,68,32
202506,PT,Platinum,신규 유입(0~2M),21,9,1
202506,PT,Platinum,안정화(6~11M),133,61,22
202506,PT,Platinum,온보딩(3~5M),52,16,3
202506,PT,Platinum,장기 유지(13M~),1615,961,405
202506,PT,Platinum,하락가망(12M),28,13,5
202506,SP,S-Platinum,신규 유입(0~2M),3,2,1
202506,SP,S-Platinum,안정화(6~11M),5,2,1
202506,SP,S-Platinum,온보딩(3~5M),1,1,1
202506,SP,S-Platinum,장기 유지(13M~),97,67,40
202506,SP,S-Platinum,하락가망(12M),2,2,1
202506,SV,Silver,신규 유입(0~2M),628,377,116
202506,SV,Silver,안정화(6~11M),2637,1654,597
202506,SV,Silver,온보딩(3~5M),1095,656,245
202506,SV,Silver,장기 유지(13M~),11640,9289,4453
202506,SV,Silver,하락가망(12M),219,152,64
202507,BK,Black,신규 유입(0~2M),4889,3410,1141
202507,BK,Black,안정화(6~11M),8329,4463,1280
202507,BK,Black,온보딩(3~5M),4813,2845,817
202507,BK,Black,장기 유지(13M~),19362,15257,6220
202507,BK,Black,하락가망(12M),332,213,75
202507,GD,Gold,신규 유입(0~2M),156,91,26
202507,GD,Gold,안정화(6~11M),927,502,196
202507,GD,Gold,온보딩(3~5M),277,115,40
202507,GD,Gold,장기 유지(13M~),4948,3642,1791
202507,GD,Gold,하락가망(12M),101,51,19
202507,PT,Platinum,신규 유입(0~2M),20,13,2
202507,PT,Platinum,안정화(6~11M),124,56,18
202507,PT,Platinum,온보딩(3~5M),45,11,2
202507,PT,Platinum,장기 유지(13M~),1644,970,382
202507,PT,Platinum,하락가망(12M),27,13,4
202507,SP,S-Platinum,신규 유입(0~2M),4,4,2
202507,SP,S-Platinum,안정화(6~11M),4,1,1
202507,SP,S-Platinum,온보딩(3~5M),2,2,1
202507,SP,S-Platinum,장기 유지(13M~),99,67,38
202507,SP,S-Platinum,하락가망(12M),1,0,0
202507,SV,Silver,신규 유입(0~2M),483,285,86
202507,SV,Silver,안정화(6~11M),2731,1684,566
202507,SV,Silver,온보딩(3~5M),1050,591,204
