YM,전월 일반 유효(유지+이탈),일반→VIP 전환,전환율,일반내-유지,일반내-승급(RD→PP),일반내-하락(PP→RD),일반내-총,일반내 대사비중
202501,3137337,11623,0.00370473430173424,3101999,29959,31515,3163473,0.99173819406709
202502,3186054,9502,0.00298237255237984,3157779,24726,24098,3206603,0.993591660707609
202503,3229226,9060,0.00280562586824211,3201518,23089,24937,3249544,0.993747430408697
202504,3284450,9449,0.0028768895857754,3253613,24543,29629,3307785,0.992945430250152
202505,3332786,9491,0.00284776760344048,3301681,25233,29004,3355918,0.99310710214016
202506,3384975,9443,0.00278968086913493,3354630,25315,27266,3407211,0.993473841215
202507,3437646,8209,0.00238797130361881,3411020,21741,24578,3457339,0.994304000851522
202508,3464233,3433,0.000990984151470181,3464233,9618,10177,3484028,0.994318357946607
202509,3530910,6626,0.00187657006267506,3509570,18201,18932,3546703,0.995547132082951
202510,3571313,8661,0.00242515847812835,3544012,23092,24164,3591268,0.994443466764385
202511,3616144,11635,0.00321751567415457,3580773,30002,30936,3641711,0.992979398969331
202512,3664143,13245,0.00361476066845644,3625384,33205,33289,3691878,0.992487563240172
202601,3706194,11629,0.00313772025965182,3671525,28848,30789,3731162,0.993308250888061
202602,3745249,10172,0.00271597429169596,3714652,25749,26754,3767155,0.994185001678986
