YM,GRADE,유입,유지,이탈,전월유효회원,당월유효회원,순증,유지율,유입률,이탈률,GROUP
202501,BK,7655,30873,7309,38182,38528,346,0.808574721072757,0.200487140537426,0.191425278927243,VIP
202501,SV,3344,13410,3231,16641,16754,113,0.805840995132504,0.200949462171744,0.194159004867496,VIP
202501,GD,1431,5343,1395,6738,6774,36,0.792965271593945,0.212377560106857,0.207034728406055,VIP
202501,PT,889,885,875,1760,1774,14,0.502840909090909,0.505113636363636,0.497159090909091,VIP
202501,SP,59,49,58,107,108,1,0.457943925233645,0.551401869158878,0.542056074766355,VIP
202501,PP,20761,117974,18804,136778,138735,1957,0.862521750573923,0.151786105952712,0.137478249426077,일반
202501,RD,17245,2984025,17288,3001313,3001270,-43,0.994239854357076,0.00574581858006812,0.00576014564292361,일반
202502,BK,6255,32497,6002,38499,38752,253,0.844099846749266,0.162471752513052,0.155900153250734,VIP
202502,SV,2593,14164,2511,16675,16757,82,0.849415292353823,0.155502248875562,0.150584707646177,VIP
202502,GD,739,6027,706,6733,6766,33,0.895143323926927,0.109757908807367,0.104856676073073,VIP
202502,PT,20,1770,0,1770,1790,20,1,0.0112994350282486,0,VIP
202502,SP,0,108,0,108,108,0,1,0,0,VIP
202502,PP,16912,122934,15505,138439,139846,1407,0.888001213530869,0.122162107498609,0.111998786469131,일반
202502,RD,12889,3034845,12918,3047763,3047734,-29,0.995761481453774,0.00422900337066891,0.00423851854622554,일반
202503,BK,6055,32685,5845,38530,38740,210,0.848300025953802,0.157150272514923,0.151699974046198,VIP
202503,SV,2493,14199,2433,16632,16692,60,0.853715728715729,0.149891774891775,0.146284271284271,VIP
202503,GD,694,6077,651,6728,6771,43,0.903240190249703,0.103151010701546,0.0967598097502973,VIP
202503,PT,25,1788,1,1789,1813,24,0.999441028507546,0.0139742873113471,0.000558971492453885,VIP
202503,SP,0,108,0,108,108,0,1,0,0,VIP
202503,PP,16079,123786,14727,138513,139865,1352,0.893677849732516,0.116082966941731,0.106322150267484,일반
202503,RD,13340,3077732,13365,3091097,3091072,-25,0.995676292267761,0.00431561998863187,0.00432370773223875,일반
202504,BK,6573,31798,6319,38117,38371,254,0.83422095128158,0.172442742083585,0.16577904871842,VIP
202504,SV,2700,13838,2614,16452,16538,86,0.841113542426453,0.164113785557987,0.158886457573547,VIP
202504,GD,674,5979,633,6612,6653,41,0.90426497277677,0.101935874168179,0.0957350272232305,VIP
202504,PT,13,1813,0,1813,1826,13,1,0.00717043574186431,0,VIP
202504,SP,1,107,0,107,108,1,1,0.00934579439252336,0,VIP
202504,PP,17494,121212,15933,137145,138706,1561,0.88382369025484,0.127558423566298,0.11617630974516,일반
202504,RD,15911,3132401,15918,3148319,3148312,-7,0.99494396851145,0.00505380807980386,0.00505603148854992,일반
202505,BK,6652,31339,6431,37770,37991,221,0.829732592004236,0.176118612655547,0.170267407995764,VIP
202505,SV,2801,13635,2715,16350,16436,86,0.83394495412844,0.17131498470948,0.16605504587156,VIP
202505,GD,695,5801,654,6455,6496,41,0.898683191324555,0.107668474051123,0.101316808675445,VIP
202505,PT,12,1825,0,1825,1837,12,1,0.00657534246575343,0,VIP
202505,SP,1,105,0,105,106,1,1,0.00952380952380952,0,VIP
202505,PP,17776,120180,16601,136781,137956,1175,0.878630803985934,0.129959570408171,0.121369196014066,일반
202505,RD,15420,3181501,15450,3196951,3196921,-30,0.995167270314747,0.00482334574411682,0.00483272968525323,일반
202506,BK,6518,31536,6321,37857,38054,197,0.833029558602108,0.172174234619753,0.166970441397892,VIP
202506,SV,2598,13694,2525,16219,16292,73,0.844318392009372,0.160182502003823,0.155681607990628,VIP
202506,GD,697,5762,658,6420,6459,39,0.897507788161994,0.108566978193146,0.102492211838006,VIP
202506,PT,6,1837,0,1837,1843,6,1,0.00326619488296135,0,VIP
202506,SP,0,105,0,105,105,0,1,0,0,VIP
202506,PP,17418,120370,16371,136741,137788,1047,0.880277312583644,0.127379498467906,0.119722687416356,일반
202506,RD,14365,3234260,14402,3248662,3248625,-37,0.99556679026627,0.0044218204294568,0.00443320973373038,일반
202507,BK,5703,32154,5522,37676,37857,181,0.853434547191846,0.151369572141416,0.146565452808154,VIP
