YM,FROM_CD,TO_CD,MOVE_TYPE,CNT,TOTAL,비중
202501,SP,SP,유지,49,3252903,1.50634679238821E-05
202501,SP,PT,하락,76,3252903,2.33637461676539E-05
202501,SP,GD,하락,14,3252903,4.30384797825204E-06
202501,SP,SV,하락,14,3252903,4.30384797825204E-06
202501,SP,BK,하락,14,3252903,4.30384797825204E-06
202501,SP,PP,하락,6,3252903,1.84450627639373E-06
202501,SP,RD,하락,0,3252903,0
202501,PT,SP,승급,68,3252903,2.09044044657956E-05
202501,PT,PT,유지,885,3252903,0.000272064675768075
202501,PT,GD,하락,1108,3252903,0.000340618825707376
202501,PT,SV,하락,236,3252903,7.25505802048201E-05
202501,PT,BK,하락,94,3252903,2.88972649968351E-05
202501,PT,PP,하락,92,3252903,2.82824295713706E-05
202501,PT,RD,하락,118,3252903,3.62752901024101E-05
202501,GD,SP,승급,46,3252903,1.41412147856853E-05
202501,GD,PT,승급,1668,3252903,0.000512772744837458
202501,GD,GD,유지,5343,3252903,0.00164253283912862
202501,GD,SV,하락,1627,3252903,0.000500168618615434
202501,GD,BK,하락,96,3252903,2.95121004222997E-05
202501,GD,PP,하락,20,3252903,6.14835425464577E-06
202501,GD,RD,하락,23,3252903,7.07060739284264E-06
202501,SV,SP,승급,2,3252903,6.14835425464577E-07
202501,SV,PT,승급,2,3252903,6.14835425464577E-07
202501,SV,GD,승급,1560,3252903,0.00047957163186237
202501,SV,SV,유지,13410,3252903,0.00412247152773999
202501,SV,BK,하락,4000,3252903,0.00122967085092915
202501,SV,PP,하락,514,3252903,0.000158012704344396
202501,SV,RD,하락,315,3252903,9.68365795106709E-05
202501,BK,SP,승급,0,3252903,0
202501,BK,PT,승급,4,3252903,1.22967085092915E-06
202501,BK,GD,승급,58,3252903,1.78302273384727E-05
202501,BK,SV,승급,3936,3252903,0.00120999611731429
202501,BK,BK,유지,30873,3252903,0.00949090704518395
202501,BK,PP,하락,8974,3252903,0.00275876655405956
202501,BK,RD,하락,2562,3252903,0.000787604180020124
202501,PP,SP,승급,0,3252903,0
202501,PP,PT,승급,0,3252903,0
202501,PP,GD,승급,34,3252903,1.04522022328978E-05
202501,PP,SV,승급,416,3252903,0.000127885768496632
202501,PP,BK,승급,8525,3252903,0.00262073600104276
202501,PP,PP,유지,117974,3252903,0.036267297241879
202501,PP,RD,하락,31515,3252903,0.00968826921675808
202501,RD,SP,승급,1,3252903,3.07417712732289E-07
202501,RD,PT,승급,14,3252903,4.30384797825204E-06
202501,RD,GD,승급,52,3252903,1.5985721062079E-05
202501,RD,SV,승급,346,3252903,0.000106366528605372
202501,RD,BK,승급,2235,3252903,0.000687078587956665
202501,RD,PP,승급,29959,3252903,0.00920992725574664
202501,RD,RD,유지,2984025,3252903,0.917342140235968
202502,SP,SP,유지,108,3289395,3.28327853602258E-05
202502,SP,PT,하락,0,3289395,0
202502,SP,GD,하락,0,3289395,0
202502,SP,SV,하락,0,3289395,0
202502,SP,BK,하락,0,3289395,0
202502,SP,PP,하락,0,3289395,0
202502,SP,RD,하락,0,3289395,0
202502,PT,SP,승급,0,3289395,0
202502,PT,PT,유지,1770,3289395,0.000538092871181479
202502,PT,GD,하락,0,3289395,0
202502,PT,SV,하락,0,3289395,0
202502,PT,BK,하락,0,3289395,0
202502,PT,PP,하락,0,3289395,0
202502,PT,RD,하락,4,3289395,1.21602908741577E-06
202502,GD,SP,승급,0,3289395,0
202502,GD,PT,승급,0,3289395,0
202502,GD,GD,유지,6027,3289395,0.00183225182746371
202502,GD,SV,하락,1363,3289395,0.000414361911536924
202502,GD,BK,하락,80,3289395,2.43205817483154E-05
202502,GD,PP,하락,30,3289395,9.12021815561828E-06
202502,GD,RD,하락,19,3289395,5.77613816522491E-06
202502,SV,SP,승급,0,3289395,0
202502,SV,PT,승급,0,3289395,0
202502,SV,GD,승급,1332,3289395,0.000404937686109452
202502,SV,SV,유지,14164,3289395,0.00430595899853924
202502,SV,BK,하락,3321,3289395,0.00100960814982694
202502,SV,PP,하락,352,3289395,0.000107010559692588
202502,SV,RD,하락,173,3289395,5.25932580307321E-05
202502,BK,SP,승급,0,3289395,0
202502,BK,PT,승급,0,3289395,0
202502,BK,GD,승급,50,3289395,1.52003635926971E-05
202502,BK,SV,승급,3178,3289395,0.00096613510995183
202502,BK,BK,유지,32497,3289395,0.00987932431343758
202502,BK,PP,하락,7309,3289395,0.00222198914998047
202502,BK,RD,하락,1513,3289395,0.000459963002315015
202502,PP,SP,승급,0,3289395,0
202502,PP,PT,승급,0,3289395,0
202502,PP,GD,승급,14,3289395,4.2561018059552E-06
202502,PP,SV,승급,294,3289395,8.93781379250592E-05
202502,PP,BK,승급,7171,3289395,0.00218003614646462
202502,PP,PP,유지,122934,3289395,0.0373728299580926
202502,PP,RD,하락,24098,3289395,0.00732596723713631
202502,RD,SP,승급,0,3289395,0
202502,RD,PT,승급,20,3289395,6.08014543707885E-06
202502,RD,GD,승급,49,3289395,1.48963563208432E-05
202502,RD,SV,승급,269,3289395,8.17779561287106E-05
202502,RD,BK,승급,1685,3289395,0.000512252253073893
202502,RD,PP,승급,24726,3289395,0.00751688380386059
202502,RD,RD,유지,3034845,3289395,0.922614948949579
202503,SP,SP,유지,108,3332083,3.24121578003909E-05
202503,SP,PT,하락,0,3332083,0
202503,SP,GD,하락,0,3332083,0
202503,SP,SV,하락,0,3332083,0
202503,SP,BK,하락,0,3332083,0
202503,SP,PP,하락,0,3332083,0
202503,SP,RD,하락,0,3332083,0
202503,PT,SP,승급,0,3332083,0
202503,PT,PT,유지,1788,3332083,0.000536601279139805
202503,PT,GD,하락,0,3332083,0
202503,PT,SV,하락,0,3332083,0
202503,PT,BK,하락,0,3332083,0
202503,PT,PP,하락,0,3332083,0
202503,PT,RD,하락,2,3332083,6.00225144451684E-07
202503,GD,SP,승급,0,3332083,0
202503,GD,PT,승급,0,3332083,0
202503,GD,GD,유지,6077,3332083,0.00182378410141644
202503,GD,SV,하락,1302,3332083,0.000390746569038046
202503,GD,BK,하락,50,3332083,1.50056286112921E-05
202503,GD,PP,하락,8,3332083,2.40090057780674E-06
202503,GD,RD,하락,17,3332083,5.10191372783931E-06
202503,SV,SP,승급,0,3332083,0
202503,SV,PT,승급,0,3332083,0
202503,SV,GD,승급,1232,3332083,0.000369738688982237
202503,SV,SV,유지,14199,3332083,0.00426129841303473
202503,SV,BK,하락,3384,3332083,0.00101558094441225
202503,SV,PP,하락,332,3332083,9.96373739789795E-05
202503,SV,RD,하락,167,3332083,5.01187995617156E-05
202503,BK,SP,승급,0,3332083,0
202503,BK,PT,승급,0,3332083,0
202503,BK,GD,승급,48,3332083,1.44054034668404E-05
202503,BK,SV,승급,3121,3332083,0.000936651337916853
202503,BK,BK,유지,32685,3332083,0.00980917942320164
202503,BK,PP,하락,7377,3332083,0.00221393044531004
202503,BK,RD,하락,1582,3332083,0.000474778089261282
202503,PP,SP,승급,0,3332083,0
202503,PP,PT,승급,0,3332083,0
202503,PP,GD,승급,10,3332083,3.00112572225842E-06
202503,PP,SV,승급,246,3332083,7.38276927675571E-05
202503,PP,BK,승급,6892,3332083,0.0020683758477805
202503,PP,PP,유지,123786,3332083,0.0371497348655481
202503,PP,RD,하락,24937,3332083,0.00748390721359582
202503,RD,SP,승급,0,3332083,0
202503,RD,PT,승급,26,3332083,7.80292687787189E-06
202503,RD,GD,승급,55,3332083,1.65061914724213E-05
202503,RD,SV,승급,257,3332083,7.71289310620414E-05
202503,RD,BK,승급,1574,3332083,0.000472377188683475
202503,RD,PP,승급,23089,3332083,0.00692929918012246
202503,RD,RD,유지,3077732,3332083,0.923666067141785
