CURR_STD_YM,GRAD_STATUS,GRAD_MOVEMENT,CURR_GRAD_GB,CURR_NLINE_MEM_GRAD_CD,CURR_NLINE_MEM_GRAD_NM,PREV_GRAD_GB,PREV_NLINE_MEM_GRAD_CD,PREV_NLINE_MEM_GRAD_NM,CUST_CNT,MAU,DAU
202501,유입,승급,VIP,BK,Black,일반,PP,Purple,4264,3771,1702
202501,유입,승급,VIP,BK,Black,일반,RD,Red,1287,955,254
202501,유입,승급,VIP,GD,Gold,VIP,BK,Black,29,25,11
202501,유입,승급,VIP,GD,Gold,VIP,SV,Silver,781,601,330
202501,유입,승급,VIP,GD,Gold,일반,PP,Purple,17,15,6
202501,유입,승급,VIP,GD,Gold,일반,RD,Red,43,37,8
202501,유입,승급,VIP,PT,Platinum,VIP,BK,Black,2,2,2
202501,유입,승급,VIP,PT,Platinum,VIP,GD,Gold,834,543,261
202501,유입,승급,VIP,PT,Platinum,VIP,SV,Silver,1,1,1
202501,유입,승급,VIP,PT,Platinum,일반,RD,Red,14,12,2
202501,유입,승급,VIP,SP,S-Platinum,VIP,GD,Gold,23,18,12
202501,유입,승급,VIP,SP,S-Platinum,VIP,PT,Platinum,34,26,15
202501,유입,승급,VIP,SP,S-Platinum,VIP,SV,Silver,1,1,1
202501,유입,승급,VIP,SP,S-Platinum,일반,RD,Red,1,1,1
202501,유입,승급,VIP,SV,Silver,VIP,BK,Black,1969,1654,849
202501,유입,승급,VIP,SV,Silver,일반,PP,Purple,208,168,71
202501,유입,승급,VIP,SV,Silver,일반,RD,Red,228,172,40
202501,유입,승급,일반,PP,Purple,일반,RD,Red,15957,13448,4089
202501,유입,하락,VIP,BK,Black,VIP,GD,Gold,48,35,10
202501,유입,하락,VIP,BK,Black,VIP,PT,Platinum,47,30,8
202501,유입,하락,VIP,BK,Black,VIP,SP,S-Platinum,7,6,2
202501,유입,하락,VIP,BK,Black,VIP,SV,Silver,2002,1538,626
202501,유입,하락,VIP,GD,Gold,VIP,PT,Platinum,554,336,132
202501,유입,하락,VIP,GD,Gold,VIP,SP,S-Platinum,7,4,1
202501,유입,하락,VIP,PT,Platinum,VIP,SP,S-Platinum,38,32,19
202501,유입,하락,VIP,SV,Silver,VIP,GD,Gold,814,602,252
202501,유입,하락,VIP,SV,Silver,VIP,PT,Platinum,118,67,24
202501,유입,하락,VIP,SV,Silver,VIP,SP,S-Platinum,7,4,1
202501,유입,하락,일반,PP,Purple,VIP,BK,Black,4488,3440,1213
202501,유입,하락,일반,PP,Purple,VIP,GD,Gold,10,8,2
202501,유입,하락,일반,PP,Purple,VIP,PT,Platinum,46,19,5
202501,유입,하락,일반,PP,Purple,VIP,SP,S-Platinum,3,2,1
202501,유입,하락,일반,PP,Purple,VIP,SV,Silver,257,164,44
202501,유입,하락,일반,RD,Red,VIP,BK,Black,1279,564,112
202501,유입,하락,일반,RD,Red,VIP,GD,Gold,11,2,1
202501,유입,하락,일반,RD,Red,VIP,PT,Platinum,59,13,2
202501,유입,하락,일반,RD,Red,VIP,SV,Silver,156,71,13
202501,유입,하락,일반,RD,Red,일반,PP,Purple,15740,8613,2151
202501,유지,-,VIP,BK,Black,VIP,BK,Black,30873,21913,8624
202501,유지,-,VIP,GD,Gold,VIP,GD,Gold,5343,3868,1888
202501,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,885,530,221
202501,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,49,38,23
202501,유지,-,VIP,SV,Silver,VIP,SV,Silver,13410,10079,4710
202501,유지,-,일반,PP,Purple,일반,PP,Purple,117974,72676,21736
202501,유지,-,일반,RD,Red,일반,RD,Red,2984025,495856,70511
202502,유입,승급,VIP,BK,Black,일반,PP,Purple,3586,3135,1395
202502,유입,승급,VIP,BK,Black,일반,RD,Red,968,707,199
202502,유입,승급,VIP,GD,Gold,VIP,BK,Black,25,21,11
202502,유입,승급,VIP,GD,Gold,VIP,SV,Silver,666,508,275
202502,유입,승급,VIP,GD,Gold,일반,PP,Purple,7,3,2
202502,유입,승급,VIP,GD,Gold,일반,RD,Red,41,37,6
202502,유입,승급,VIP,PT,Platinum,일반,RD,Red,20,18,3
202502,유입,승급,VIP,SV,Silver,VIP,BK,Black,1590,1332,688
202502,유입,승급,VIP,SV,Silver,일반,PP,Purple,147,103,46
202502,유입,승급,VIP,SV,Silver,일반,RD,Red,174,117,24
202502,유입,승급,일반,PP,Purple,일반,RD,Red,13066,10753,3239
202502,유입,하락,VIP,BK,Black,VIP,GD,Gold,40,29,9
202502,유입,하락,VIP,BK,Black,VIP,SV,Silver,1661,1224,478
202502,유입,하락,VIP,SV,Silver,VIP,GD,Gold,682,474,203
202502,유입,하락,일반,PP,Purple,VIP,BK,Black,3655,2757,943
202502,유입,하락,일반,PP,Purple,VIP,GD,Gold,15,7,3
202502,유입,하락,일반,PP,Purple,VIP,SV,Silver,176,117,31
202502,유입,하락,일반,RD,Red,VIP,BK,Black,752,315,61
202502,유입,하락,일반,RD,Red,VIP,GD,Gold,9,2,1
202502,유입,하락,일반,RD,Red,VIP,SV,Silver,86,38,9
202502,유입,하락,일반,RD,Red,일반,PP,Purple,12042,6573,1605
202502,유지,-,VIP,BK,Black,VIP,BK,Black,32497,22314,8203
202502,유지,-,VIP,GD,Gold,VIP,GD,Gold,6027,4196,1927
202502,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,1770,1097,466
202502,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,108,81,47
202502,유지,-,VIP,SV,Silver,VIP,SV,Silver,14164,10372,4532
202502,유지,-,일반,PP,Purple,일반,PP,Purple,122934,72088,20215
202502,유지,-,일반,RD,Red,일반,RD,Red,3034845,454652,62811
202503,유입,승급,VIP,BK,Black,일반,PP,Purple,3447,2936,1341
202503,유입,승급,VIP,BK,Black,일반,RD,Red,891,645,178
202503,유입,승급,VIP,GD,Gold,VIP,BK,Black,24,21,11
202503,유입,승급,VIP,GD,Gold,VIP,SV,Silver,616,462,231
202503,유입,승급,VIP,GD,Gold,일반,PP,Purple,5,5,3
202503,유입,승급,VIP,GD,Gold,일반,RD,Red,49,45,9
202503,유입,승급,VIP,PT,Platinum,일반,RD,Red,25,22,4
202503,유입,승급,VIP,SV,Silver,VIP,BK,Black,1561,1293,674
202503,유입,승급,VIP,SV,Silver,일반,PP,Purple,123,89,40
202503,유입,승급,VIP,SV,Silver,일반,RD,Red,158,127,31
202503,유입,승급,일반,PP,Purple,일반,RD,Red,12220,9928,3148
202503,유입,하락,VIP,BK,Black,VIP,GD,Gold,25,9,3
202503,유입,하락,VIP,BK,Black,VIP,SV,Silver,1692,1225,493
202503,유입,하락,VIP,SV,Silver,VIP,GD,Gold,651,459,204
202503,유입,하락,일반,PP,Purple,VIP,BK,Black,3689,2732,981
202503,유입,하락,일반,PP,Purple,VIP,GD,Gold,4,3,1
202503,유입,하락,일반,PP,Purple,VIP,SV,Silver,166,83,21
202503,유입,하락,일반,RD,Red,VIP,BK,Black,789,299,60
202503,유입,하락,일반,RD,Red,VIP,GD,Gold,8,5,1
202503,유입,하락,일반,RD,Red,VIP,SV,Silver,83,34,5
202503,유입,하락,일반,RD,Red,일반,PP,Purple,12460,6552,1685
202503,유지,-,VIP,BK,Black,VIP,BK,Black,32685,22110,8383
202503,유지,-,VIP,GD,Gold,VIP,GD,Gold,6077,4218,2012
202503,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,1788,1101,470
202503,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,108,82,50
202503,유지,-,VIP,SV,Silver,VIP,SV,Silver,14199,10311,4672
