YM,일반→VIP,VIP→일반,VIP_당월유효회원,VIP_순증(명),VIP_순증률,VIP_유지목표_필요신규(명),현실성장_필요신규(명),공격성장(+2%p)_필요신규(명)
202501,11623,12624,63938,-1001,-0.0156557915480622,12624,13072,14350
202502,9502,9400,64173,102,0.00158945350848488,9400,9849,11133
202503,9060,9485,64124,-425,-0.00662778366914104,9485,9934,11216
202504,9449,11084,63496,-1635,-0.0257496535214817,11084,11528,12798
202505,9491,11010,62866,-1519,-0.0241625043743836,11010,11450,12707
202506,9443,9975,62753,-532,-0.00847768234188007,9975,10414,11669
202507,8209,9164,62417,-955,-0.0153003188233975,9164,9601,10849
202508,3433,3735,62102,-302,-0.00486296737625197,3735,4170,5412
202509,6626,6861,62097,-235,-0.00378440182295441,6861,7296,8538
202510,8661,9088,62019,-427,-0.00688498685886583,9088,9522,10763
202511,11635,12252,61873,-617,-0.00997203950026668,12252,12685,13923
202512,13245,13418,61978,-173,-0.00279131304656491,13418,13852,15091
202601,11629,11946,61886,-317,-0.00512232168826552,11946,12379,13617
202602,10172,10068,62068,104,0.00167558162015854,10068,10502,11744
